Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
The World Is My Oyster,LE SSERAFIM,FEARLESS,4Mc7WwYH41hgUWeKX25Sot,4Rrv9oNClBhzKRfKwdkg99,53,2022-05-02,106821,False,https://open.spotify.com/track/4Rrv9oNClBhzKRfKwdkg99,0.623,0.837,5,-7.699,1,0.0399,0.0203,0.454,0.199,0.601,120.043
The Great Mermaid,LE SSERAFIM,FEARLESS,4Mc7WwYH41hgUWeKX25Sot,5XO1SOADQxkdqGLFxX8rLN,63,2022-05-02,177795,False,https://open.spotify.com/track/5XO1SOADQxkdqGLFxX8rLN,0.625,0.824,0,-4.619,0,0.0614,0.000884,0.0,0.0908,0.438,94.963
Sour Grapes,LE SSERAFIM,FEARLESS,4Mc7WwYH41hgUWeKX25Sot,6wBpO4Xc4YgShnENGSFA1M,75,2022-05-02,196540,False,https://open.spotify.com/track/6wBpO4Xc4YgShnENGSFA1M,0.779,0.801,6,-5.564,0,0.0457,0.395,0.0,0.108,0.72,139.998
The Hydra,LE SSERAFIM,ANTIFRAGILE,3u0ggfmK0vjuHMNdUbtaa9,0JosgxxZKZ87QbW5TISJDE,56,2022-10-17,104203,False,https://open.spotify.com/track/0JosgxxZKZ87QbW5TISJDE,0.766,0.75,11,-5.872,0,0.162,0.00279,0.0676,0.0943,0.534,104.064
No Celestial,LE SSERAFIM,ANTIFRAGILE,3u0ggfmK0vjuHMNdUbtaa9,21ApmVGIzIAIDSBdHu6SVt,67,2022-10-17,166491,False,https://open.spotify.com/track/21ApmVGIzIAIDSBdHu6SVt,0.618,0.801,7,-2.905,1,0.0825,0.0168,0.0,0.131,0.699,138.028
Good Parts (when the quality is bad but I am),LE SSERAFIM,ANTIFRAGILE,3u0ggfmK0vjuHMNdUbtaa9,1sZBzYhrQG40zcSuKkI93c,71,2022-10-17,156355,False,https://open.spotify.com/track/1sZBzYhrQG40zcSuKkI93c,0.785,0.679,0,-4.907,1,0.0379,0.516,0.0,0.417,0.616,121.121
FEARLESS - Japanese ver.,LE SSERAFIM,FEARLESS,4db6bVyZTtbpZjsCQGyZpl,3sR8JLZH6aCgPN3XwHh2FU,41,2023-01-24,168867,False,https://open.spotify.com/track/3sR8JLZH6aCgPN3XwHh2FU,0.856,0.663,7,-5.969,1,0.0841,0.0518,0.000997,0.127,0.376,103.979
Blue Flame - Japanese ver.,LE SSERAFIM,FEARLESS,4db6bVyZTtbpZjsCQGyZpl,6FnZShD1O17bZa9emuXLXh,52,2023-01-24,201280,False,https://open.spotify.com/track/6FnZShD1O17bZa9emuXLXh,0.771,0.743,4,-3.601,0,0.0377,0.0213,8.54e-06,0.0809,0.746,112.056
Choices,LE SSERAFIM,FEARLESS,4db6bVyZTtbpZjsCQGyZpl,60ggb7NB66ztsfLsIqfbtn,42,2023-01-24,201027,False,https://open.spotify.com/track/60ggb7NB66ztsfLsIqfbtn,0.449,0.837,9,-4.571,1,0.198,0.0254,0.0,0.114,0.722,98.546
The World Is My Oyster (2023 Ver.),LE SSERAFIM,UNFORGIVEN,4Oz7K9DRwwGMN49i4NbVDT,2JGsTyLC4gLCWXVmvUn5Wi,51,2023-05-01,106821,False,https://open.spotify.com/track/2JGsTyLC4gLCWXVmvUn5Wi,0.614,0.855,5,-7.471,0,0.0398,0.0211,0.521,0.135,0.591,120.017
FEARLESS (2023 Ver.),LE SSERAFIM,UNFORGIVEN,4Oz7K9DRwwGMN49i4NbVDT,4K8jDTlNhZWEdnzZVGRMtN,73,2023-05-01,168437,False,https://open.spotify.com/track/4K8jDTlNhZWEdnzZVGRMtN,0.856,0.615,7,-7.226,1,0.133,0.0602,0.0018,0.118,0.48,103.948
Blue Flame (2023 Ver.),LE SSERAFIM,UNFORGIVEN,4Oz7K9DRwwGMN49i4NbVDT,2ahp0wvyEzyvgWfOhStHWp,68,2023-05-01,201895,False,https://open.spotify.com/track/2ahp0wvyEzyvgWfOhStHWp,0.771,0.747,4,-3.407,0,0.0455,0.023,1.47e-06,0.0706,0.762,112.046
